dimension,data_type,algorithm,time_spent,trial_id
800,double,JKI,3.728548,0
800,double,KJI,3.845955,0
800,float,IJK,1.585568,0
800,float,JIK,1.826666,0
800,float,KIJ,1.480188,0
800,float,IKJ,1.427277,0
800,float,JKI,2.055746,0
800,float,KJI,2.107227,0
800,double,IJK,1.694299,1
800,double,JIK,1.637749,1
800,double,KIJ,1.485296,1
800,double,IKJ,2.380568,1
800,double,JKI,3.641772,1
800,double,KJI,3.699245,1
800,float,IJK,1.547912,1
800,float,JIK,1.595433,1
800,float,KIJ,1.404803,1
800,float,IKJ,2.329504,1
800,float,JKI,2.684808,1
800,float,KJI,2.413807,1
800,double,IJK,2.357283,2
800,double,JIK,1.93282,2
800,double,KIJ,1.598593,2
800,double,IKJ,1.702912,2
800,double,JKI,3.781908,2
800,double,KJI,4.086476,2
800,float,IJK,1.633861,2
800,float,JIK,1.555805,2
800,float,KIJ,2.216021,2
800,float,IKJ,1.486499,2
800,float,JKI,2.21098,2
800,float,KJI,2.080228,2
800,double,IJK,1.753622,3
800,double,JIK,1.619999,3
800,double,KIJ,1.466085,3
800,double,IKJ,1.551307,3
800,double,JKI,4.23052,3
800,double,KJI,3.381506,3
800,float,IJK,1.653934,3
800,float,JIK,1.771848,3
800,float,KIJ,1.407697,3
800,float,IKJ,1.530623,3
800,float,JKI,2.153904,3
800,float,KJI,2.089321,3
800,double,IJK,1.685479,4
800,double,JIK,1.64541,4
800,double,KIJ,1.585364,4
800,double,IKJ,1.597938,4
800,double,JKI,4.514454,4
800,double,KJI,4.823009,4
800,float,IJK,2.039529,4
800,float,JIK,1.988821,4
800,float,KIJ,1.803948,4
800,float,IKJ,1.760001,4
800,float,JKI,2.769253,4
800,float,KJI,2.926296,4
1000,double,IJK,5.857671,0
1000,double,JIK,4.269101,0
1000,double,KIJ,3.394914,0
1000,double,IKJ,4.173883,0
1000,double,JKI,9.788216,0
1000,double,KJI,10.117717,0
1000,float,IJK,4.753278,0
1000,float,JIK,3.845226,0
1000,float,KIJ,3.341618,0
1000,float,IKJ,3.950151,0
1000,float,JKI,9.767039,0
1000,float,KJI,8.533528,0
1000,double,IJK,5.112111,1
1000,double,JIK,3.970707,1
1000,double,KIJ,3.924264,1
1000,double,IKJ,3.320752,1
1000,double,JKI,10.392805,1
1000,double,KJI,10.137206,1
1000,float,IJK,4.686233,1
1000,float,JIK,3.85237,1
1000,float,KIJ,3.754188,1
1000,float,IKJ,3.53625,1
1000,float,JKI,10.740447,1
1000,float,KJI,8.949868,1
1000,double,IJK,5.522803,2
1000,double,JIK,4.432197,2
1000,double,KIJ,3.452865,2
1000,double,IKJ,3.430835,2
1000,double,JKI,10.226848,2
1000,double,KJI,9.572165,2
1000,float,IJK,4.210198,2
1000,float,JIK,3.517122,2
1000,float,KIJ,3.372791,2
1000,float,IKJ,3.931014,2
1000,float,JKI,9.940387,2
1000,float,KJI,9.147632,2
1000,double,IJK,5.245496,3
1000,double,JIK,4.081479,3
1000,double,KIJ,3.461971,3
1000,double,IKJ,3.522327,3
1000,double,JKI,10.498281,3
1000,double,KJI,9.668021,3
1000,float,IJK,4.428123,3
1000,float,JIK,3.458856,3
1000,float,KIJ,3.140064,3
1000,float,IKJ,3.142414,3
1000,float,JKI,9.927949,3
1000,float,KJI,8.76452,3
1000,double,IJK,5.46339,4
1000,double,JIK,4.158361,4
1000,double,KIJ,3.545131,4
1000,double,IKJ,4.559744,4
1000,double,JKI,11.287155,4
1000,double,KJI,11.608527,4
1000,float,IJK,4.386167,4
1000,float,JIK,3.692604,4
1000,float,KIJ,4.226601,4
1000,float,IKJ,3.954539,4
1000,float,JKI,10.02843,4
1000,float,KJI,9.516708,4
2000,double,IJK,57.535705,0
2000,double,JIK,55.246357,0
2000,double,KIJ,31.921023,0
2000,double,IKJ,35.691458,0
2000,double,JKI,97.964728,0
2000,double,KJI,94.050486,0
2000,float,IJK,46.931702,0
2000,float,JIK,42.627161,0
2000,float,KIJ,31.36792,0
2000,float,IKJ,31.111305,0
2000,float,JKI,86.308438,0
2000,float,KJI,83.161837,0
2000,double,IJK,53.273868,1
2000,double,JIK,46.499443,1
2000,double,KIJ,30.225034,1
2000,double,IKJ,29.699594,1
2000,double,JKI,90.190943,1
2000,double,KJI,84.739015,1
2000,float,IJK,44.021591,1
2000,float,JIK,43.774306,1
2000,float,KIJ,30.264202,1
2000,float,IKJ,28.271142,1
2000,float,JKI,82.07064,1
2000,float,KJI,75.69198,1
2000,double,IJK,52.555985,2
2000,double,JIK,47.449068,2
2000,double,KIJ,29.488062,2
2000,double,IKJ,30.592851,2
2000,double,JKI,89.377903,2
2000,double,KJI,84.900513,2
2000,float,IJK,41.637978,2
2000,float,JIK,37.974444,2
2000,float,KIJ,25.82177,2
2000,float,IKJ,28.027369,2
2000,float,JKI,79.267345,2
2000,float,KJI,78.259478,2
2000,double,IJK,50.508824,3
2000,double,JIK,45.953695,3
2000,double,KIJ,29.136946,3
2000,double,IKJ,33.12739,3
2000,double,JKI,93.334205,3
2000,double,KJI,88.960563,3
2000,float,IJK,43.978817,3
2000,float,JIK,39.230796,3
2000,float,KIJ,29.111711,3
2000,float,IKJ,29.549984,3
2000,float,JKI,82.977505,3
2000,float,KJI,76.825887,3
2000,double,IJK,50.411877,4
2000,double,JIK,48.674008,4
2000,double,KIJ,31.405262,4
2000,double,IKJ,32.113551,4
2000,double,JKI,94.073924,4
2000,double,KJI,90.586455,4
2000,float,IJK,50.231682,4
2000,float,JIK,40.275251,4
2000,float,KIJ,27.475246,4
2000,float,IKJ,28.998706,4
2000,float,JKI,87.877554,4
2000,float,KJI,84.402321,4
